,Country,Country Code,Male,Female,Total,Population,"Rate per 100,000",Longitude,Latitude
27,Colombia,COL,4,1,5,49065615,0.010190435807234863,-73.25,4.0
28,South Korea,KOR,4,1,5,51466201,0.009715113808380766,128.0,36.0
29,Finland,FIN,3,1,4,5516224,0.07251337146569828,27.0,65.0
30,Estonia,EST,4,0,4,1357739,0.2946074319143812,26.0,59.0
31,Argentina,ARG,4,0,4,47327407,0.008451762421718984,-64.0,-34.0
32,German Democratic Republic,DDR,3,0,3,16111000,0.01862081807460741,12.389,52.052
33,Republic of Ireland,IRL,3,0,3,5123536,0.058553311619163016,-8.0,53.0
34,Switzerland,CHE,3,0,3,8738791,0.03432969160150415,8.231973,46.798562
35,Czech Republic,CZE,2,1,3,10516707,0.02852603956732844,16.0,49.5
36,Portugal,PRT,2,0,3,10347892,0.02899141197066997,-9.183333333,38.7
37,Indonesia,IDN,3,0,3,275439000,0.0010891703789223748,118.0,-2.0
38,Chile,CHL,3,0,3,19458000,0.015417823003391921,-71.0,-33.0
39,Greece,GRC,2,0,2,10432481,0.01917089520699822,23.0,38.5
40,Socialist Federal Republic of Yugoslavia,YUG,2,0,2,23724919,0.00842995501902451,19.466666666,42.783333333
41,Denmark,DNK,1,1,2,5827463,0.03432025222639767,10.0,56.0
42,Slovakia,SVK,2,0,2,5449270,0.036702163776065416,20.0,49.0
43,Slovenia,SVN,2,0,2,2066880,0.09676420498529184,15.0,46.0
44,Belarus,BLR,2,0,2,9255524,0.02160871712935972,28.046666666,53.528333333
45,Netherlands,NLD,1,0,1,17282163,0.00578631274337593,5.55,52.316666666
46,Nigeria,NGA,1,0,1,211400708,0.00047303531263480917,8.0,9.0
47,Eswatini,SWZ,1,0,1,1160164,0.08619471040301199,31.433333,-26.483333
48,Sweden,SWE,0,1,1,10409248,0.009606841915957811,15.0,61.0
49,Egypt,EGY,1,0,1,94798827,0.0010548653729650051,29.0,27.0
50,Kenya,KEN,1,0,1,48468138,0.0020632110934403957,38.0,0.1
51,Iceland,ISL,1,0,1,364260,0.2745291824520947,-19.0,65.0
52,Kazakhstan,KAZ,1,0,1,19002586,0.005262441648731389,68.0,48.0
53,Peru,PER,1,0,1,29381884,0.003403457722452379,-76.0,-9.4
54,North Korea,PRK,1,0,1,25490965,0.0039229585855223605,127.0,40.0
55,Ecuador,ECU,1,0,1,18000062,0.005555536419818999,-78.0,-1.0
56,Bolivia,BOL,1,0,1,11051600,0.009048463570885665,-64.991228611,-17.056869611
57,Iraq,IRQ,1,0,1,38274618,0.0026126975323437582,43.0,33.0
58,Tunisia,TUN,1,0,1,11565204,0.008646626553236761,10.0,34.0
59,Mozambique,MOZ,1,0,1,29668834,0.003370540278057439,35.0,-19.0
60,Senegal,SEN,1,0,1,16876720,0.005925321981996502,-14.283333,14.366667
61,Latvia,LVA,1,0,1,1875757,0.053311809578746074,25.0,57.0
62,Moldova,MDA,1,0,1,2550900,0.03920185032733545,28.516667,47.25
63,Croatia,HRV,1,0,1,3871833,0.025827560227933383,15.466667,45.25
64,New Zealand,NZL,1,0,1,5118700,0.019536210365913218,174.0,-41.2
65,Venezuela,VEN,1,0,1,28515829,0.0035068242273440485,-67.0,8.0
66,Dominican Republic,DOM,1,0,1,10403761,0.009611908616508973,-70.2,18.8
67,Israel,ISR,1,0,1,9187000,0.010884946119516709,35.0,31.0
68,Afghanistan,AFG,1,0,1,37466414,0.002669057145420963,66.0,33.0
69,Bangladesh,BGD,1,0,1,165775000,0.0006032272658724174,89.866667,24.016667
70,Morocco,MAR,1,0,1,37076584,0.0026971201014635003,-6.0,32.0
